"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"PEL",885,951.75,880.85,882.4,944,6.98,4137386,3815952481.66,"05-Jul-2024"
"MPHASIS",2726.05,2918.5,2726.05,2718.85,2908,6.96,1786753,5136057233.56,"10-Jul-2024"
"BSOFT",576.05,606.75,572.2,566,602,6.36,9597224,5719849531.76,"12-Jul-2024"
"ABCAPITAL",205,216.98,205,203.47,215.85,6.08,10587128,2256752204.48,"16-Aug-2018"
"MCX",4379.55,4669,4379.05,4379.55,4625,5.6,1183924,5433050914.48,"15-Sep-2023"
"LTTS",4985,5224.5,4980.35,4916.85,5190.2,5.56,529747,2736651812.12,"14-Jun-2024"
"DLF",835.5,874,830.4,821.65,866.2,5.42,8826463,7576547574.57,"31-Jul-2024"
"MGL",1744.4,1823,1744.35,1730.1,1820,5.2,607441,1088017947.15,"14-Aug-2024"
"IEX",187,195.5,187,185.81,195,4.95,14692697,2831870419.78,"29-Jul-2024"
"GLENMARK",1514.7,1576,1425.85,1491.2,1562,4.75,5136030,7880056748.1,"18-Sep-2023"
"METROPOLIS",2007.15,2077.95,1984.2,1981.35,2074,4.68,227808,468140883.84,"17-Nov-2023"
"PVRINOX",1460,1503.2,1457,1432.9,1499.55,4.65,1047796,1558376512.84,"09-Jul-2020"
"BALRAMCHIN",511,525.9,502.1,502.5,524.6,4.4,3515856,1820756346.72,"24-Jul-2024"
"HINDCOPPER",306,315.5,298.5,298.65,311.65,4.35,14292228,4391572897.56,"22-Sep-2023"
"UBL",1904.15,1976.3,1900.05,1891.5,1973,4.31,312571,609250890.36,"25-Jul-2024"
"WIPRO",501,517.45,497.95,495.15,516.1,4.23,12965570,6625146958.6,"16-Jul-2024"
"BIOCON",330,342,328.1,327.65,340.9,4.04,3040369,1019405322.01,"05-Jul-2024"
"TECHM",1558.4,1589,1531.3,1524.4,1585,3.98,3224481,5050214387.01,"19-Jul-2024"
"COROMANDEL",1692.85,1780,1690,1687.5,1754.65,3.98,693778,1207180657.78,"26-Jul-2024"
"POLYCAB",6460,6709,6415.05,6413.35,6664.95,3.92,479575,3171789156.25,"09-Jul-2024"
