"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"WIPRO",501,517.45,497.95,495.15,516.1,4.23,12965570,6625146958.6,"16-Jul-2024"
"TECHM",1558.4,1589,1531.3,1524.4,1585,3.98,3224481,5050214387.01,"19-Jul-2024"
"GRASIM",2512.4,2608,2512.4,2512.4,2604,3.65,725887,1858691734.46,"06-Aug-2024"
"M&M",2789,2845.05,2776.15,2745.25,2839.9,3.45,4376092,12343423899.8,"05-Jul-2024"
"TATAMOTORS",1072,1099.95,1070,1062.35,1098,3.36,11435650,12452622354.5,"11-Jun-2024"
"ULTRACEMCO",11040,11325,10950.2,11002.6,11311.75,2.81,435631,4829453185.41,"30-Jul-2024"
"TCS",4350,4427,4325.1,4295.25,4414.2,2.77,3457058,15195429297.84,"19-Jul-2024"
"HCLTECH",1635,1674,1632.7,1626.15,1668.7,2.62,3101056,5138480802.56,"23-Jul-2024"
"SHRIRAMFIN",2913,2991.9,2902.05,2895.1,2970,2.59,995219,2943907562.95,"23-Jul-2024"
"BPCL",326.05,333.8,326.05,325.05,333.35,2.55,8214443,2717173455.54,"09-Aug-2024"
"APOLLOHOSP",6556.2,6714.8,6556,6515.85,6671.25,2.54,611092,4064635661.56,"16-Aug-2024"
"LTIM",5529.6,5600,5486.95,5427.55,5564.95,2.53,445477,2480594126.8,"19-Jun-2024"
"POWERGRID",333,339.55,330.6,333.5,339,2.49,13013828,4367570815.08,"16-Aug-2024"
"COALINDIA",507.7,515.75,502.5,504.7,511.7,2.4,7313429,3719390586.53,"16-Aug-2024"
"ICICIBANK",1170,1193,1165.65,1161.65,1188.5,2.31,10961370,12950200972.8,"12-Aug-2024"
"TATASTEEL",148,150,146.46,146.17,149.5,2.28,54131721,8000127046.59,"21-Jun-2024"
"ADANIENT",3070,3121.6,3039.35,3040.1,3109,2.27,970067,2987166115.78,"14-Jun-2024"
"ITC",494.5,504.2,492.65,492.2,502.05,2,13137392,6549384033.76,"04-Jun-2024"
"NESTLEIND",2490,2533.45,2471.35,2474.6,2524,2,859834,2155414674.52,"16-Jul-2024"
"HINDALCO",633.95,642,630.2,621.45,633.7,1.97,6566337,4167654093.9,"09-Aug-2024"
