"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"DLF",835.5,874,830.4,821.65,866.2,5.42,8826463,7576547574.57,"31-Jul-2024"
"PFC",493.5,505.15,489.05,484.65,503.5,3.89,10378455,5157780781.35,"14-Aug-2024"
"ADANIPOWER",683,700,671,674.05,699.2,3.73,16281420,11033267077.2,"14-Jun-2024"
"BEL",296.5,303.9,296,293.7,303.55,3.35,21353408,6413496092.8,"14-Aug-2024"
"BOSCHLTD",31445.95,32048.4,31085,30993.15,32000,3.25,25740,813322738.8,"19-Jul-2024"
"ICICIGI",2003.25,2046.8,1976.95,1977.95,2040,3.14,1194117,2405823343.41,"07-Jun-2024"
"LICI",1040,1065,1037.3,1027.3,1058.2,3.01,2611128,2741945512.8,"19-Jul-2024"
"RECLTD",572.2,581.45,564,563.7,579.8,2.86,6950751,3980625590.19,"09-Aug-2024"
"GODREJCP",1365,1408.95,1360.65,1371.1,1404,2.77,539291,751976584.58,"16-Aug-2024"
"AMBUJACEM",625,641.95,623.45,623.2,639,2.54,958226,606767867.72,"14-Jun-2024"
"GAIL",228.28,233,226.64,226.66,232.3,2.49,10347738,2382463197.12,"06-Feb-2024"
"JIOFIN",324,329.55,319.55,320.2,327.9,2.4,16446600,5332481118,"-"
"NAUKRI",7335,7440,7225,7236.75,7401,2.27,333170,2461439969.8,"29-Jul-2024"
"DABUR",606.35,618.5,604.4,604.4,617.2,2.12,1259712,770956341.12,"19-Jul-2024"
"TATAPOWER",408.9,414.35,406.75,405.45,414,2.11,8273268,3396755642.76,"04-Jul-2024"
"HAL",4769.5,4794.6,4660,4661.7,4758,2.07,2878549,13609203962.2,"20-Feb-2024"
"VEDL",426,430.85,421.55,420.2,428.75,2.03,9815524,4183180018.32,"02-Aug-2024"
"BAJAJHLDNG",9400,9600,9392,9390.6,9581.3,2.03,20441,194890626.3,"28-Jun-2024"
"COLPAL",3471,3540.85,3471,3468.5,3537.9,2,414583,1457611640.55,"23-Jul-2024"
"IOC",165.25,167.45,164.85,163.74,167,1.99,10622879,1765841176.17,"12-Jul-2024"
