"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"SIGNPOST",229.67,265.42,224.94,221.19,265.42,20,874438,225211506.9,"-"
"AGIIL",905,1019.55,905,849.65,1019.55,20,68699,68335582.29,"-"
"OLAELEC",121,133.08,117,110.9,133.08,20,338763140,43158424036,"-"
"UFLEX",575,679.35,575,566.15,679.35,19.99,3935756,2509123165.12,"04-Aug-2023"
"MANCREDIT",132,147.12,126.1,122.6,145.31,18.52,373810,53118401,"-"
"JINDALPOLY",785,899.15,770,749.3,882.3,17.75,1463862,1228165579.38,"22-Sep-2023"
"PASUPTAC",42.85,50.64,41.69,42.2,48.97,16.04,13729270,679049694.2,"13-Aug-2024"
"SUPRAJIT",570,639.6,565.3,539.15,623,15.55,8410358,5113077146.1,"27-Aug-2024"
"GRAVITA",1970.7,2311.5,1961.65,1944.95,2206,13.42,3249731,7063160339.26,"14-May-2024"
"ANANTRAJ",523.9,604.4,522.5,519.25,585,12.66,6890740,3891614322.4,"12-Jul-2024"
"CREST",438.8,484,436,404.2,454.7,12.49,1249512,581098050.72,"18-Aug-2023"
"KITEX",284,339.1,277,286.2,321.55,12.35,13772058,4349353636.98,"22-Sep-2023"
"PGEL",441.85,495,440,436.15,490,12.35,3280659,1549947344.55,"10-Jul-2024"
"AFIL",101.75,115.9,101.75,101.42,113.32,11.73,736876,82566955.8,"-"
"SHAILY",910,1024,910,906.2,1010.6,11.52,349890,339442284.6,"23-Nov-2023"
"GANECOS",1605,1795.05,1605,1603.05,1778.9,10.97,262837,453554155.57,"14-Sep-2023"
"ESTER",136.94,151,134.51,133.49,148,10.87,1665107,243705060.52,"20-Sep-2023"
"VINYLINDIA",374.4,423,373.55,372.45,410,10.08,221207,90648416.53,"24-Jul-2024"
"MIRCELECTR",20.96,23,20.92,20.91,23,10,3365207,76558459.25,"23-Jun-2023"
"SUVEN",130.71,142.49,129.56,129.54,142.49,10,2694943,380930193.05,"30-Jul-2024"
