"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"VINNY",4.39,4.92,4.3,4.1,4.92,20,8243324,39650388.44,"14-Aug-2024"
"DCMFINSERV",7.2,7.2,7.2,6.55,7.2,9.92,60461,435319.2,"08-Sep-2023"
"DUCON",7.97,8.38,7.7,7.67,8.2,6.91,3121635,25129161.75,"22-Sep-2023"
"HEADSUP",11.3,12.88,11.3,11.37,12.08,6.24,168029,2028110.03,"22-Sep-2023"
"NAGAFERT",10.25,10.54,10.15,10.02,10.54,5.19,1072546,11047223.8,"08-Sep-2023"
"AKSHOPTFBR",9,9.34,8.94,8.72,9.17,5.16,1246805,11445669.9,"30-Jul-2024"
"CEREBRAINT",10.89,11.15,10.08,10.62,11.15,4.99,703973,7497312.45,"22-Sep-2023"
"BLBLIMITED",18.39,18.39,18.39,17.52,18.39,4.97,41264,758844.96,"17-Sep-2020"
"IMPEXFERRO",3.2,3.4,3.12,3.24,3.4,4.94,103452,341391.6,"18-Sep-2018"
"TARAPUR",14,14.23,12.89,13.56,14.23,4.94,188258,2628081.68,"22-Sep-2023"
"SVPGLOB",6.89,7.23,6.78,6.89,7.23,4.93,93154,657667.24,"21-Dec-2023"
"FMNL",6.87,6.87,6.87,6.55,6.87,4.89,99258,681902.46,"15-Sep-2023"
"SHRENIK",0.89,0.89,0.89,0.85,0.89,4.71,312649,278257.61,"14-Sep-2021"
"RCOM",1.97,2.03,1.97,1.94,2.03,4.64,7195253,14534411.06,"12-Sep-2018"
"NOIDATOLL",14.03,14.03,13.75,13.37,13.98,4.56,567498,7950646.98,"22-Sep-2023"
"SEPC",18.58,18.74,18.1,17.91,18.7,4.41,11027418,201912023.58,"25-Jun-2024"
"BTML",12.9,13.52,12.61,12.91,13.44,4.11,174490,2291053.7,"05-Apr-2024"
"CALSOFT",18.99,19.18,18.27,18.29,19.04,4.1,58155,1097384.85,"21-Sep-2023"
"HYBRIDFIN",12.69,13.24,12.3,12.74,13.21,3.69,11777,152983.23,"19-Jul-2024"
"EROSMEDIA",18.3,18.85,18.3,18.18,18.84,3.63,424722,7929559.74,"18-Sep-2023"
