"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"AUROPHARMA",1525,1527,1421.45,1519.7,1496.7,-1.51,4458082,6588108998.78,"30-Jul-2024"
"GRANULES",673.05,677.8,659.1,669.3,660,-1.39,961779,642420283.05,"30-Jul-2024"
"VOLTAS",1570,1592,1526.9,1550.3,1531.75,-1.2,2624760,4068456742.8,"25-Jun-2024"
"IPCALAB",1369.8,1369.8,1314.1,1349.05,1336.15,-0.96,452124,602260816.68,"06-Aug-2024"
"SRF",2519.95,2519.95,2470.45,2491.75,2476.2,-0.62,445311,1108539390.96,"31-Jul-2024"
"DIVISLAB",4665,4709.8,4623.3,4662,4633.15,-0.62,522991,2432509589.65,"02-Aug-2024"
"PNB",112,113.55,111.9,113.57,113.09,-0.42,27059803,3051804582.34,"21-Jun-2024"
"APOLLOTYRE",490,491.55,480.05,486.4,484.7,-0.35,1682594,813147202.38,"05-Jul-2024"
"MANAPPURAM",204.02,204.89,197.51,201.51,201,-0.25,8024696,1608229325.36,"05-Jun-2024"
"MFSL",1030,1060,988.55,1040.25,1037.85,-0.23,2520132,2534925174.84,"16-Aug-2024"
"TVSMOTOR",2625,2635.15,2572.85,2605.5,2601.55,-0.15,1089926,2826853872.12,"19-Mar-2024"
"ALKEM",5750,5750,5625.6,5682.6,5675,-0.13,299515,1698124253.7,"09-Aug-2024"
"MRF",137250,137678.3,134622.05,135970.45,135802,-0.12,9943,1349356376.74,"25-Jul-2024"
"INDIACEM",365.75,367.1,363.55,365.7,365.3,-0.11,999566,365071490.18,"14-Sep-2023"
"SBILIFE",1699,1702.1,1666.15,1692.1,1690.9,-0.07,721574,1216696431.58,"15-Mar-2024"
"DRREDDY",6831.05,6848.95,6758.15,6801.05,6800,-0.02,513132,3487255334.64,"16-Jul-2024"
