"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HINDZINC",530,544,516.05,571.75,518,-9.4,11319240,5974521256.8,"23-Jul-2024"
"INDSWFTLAB",148,148.79,127.55,148.56,136.49,-8.12,1277281,178474474.13,"22-Sep-2023"
"KDDL",3464,3464,3212.55,3513.7,3230,-8.07,83943,275140810.53,"25-Jan-2024"
"SIGIND",75.5,75.56,71.1,78.24,72.45,-7.4,151248,10965480,"22-Sep-2023"
"SECURKLOUD",36.3,37.93,34.1,36.88,34.17,-7.35,133673,4726677.28,"23-Sep-2021"
"AVROIND",124.34,124.34,114,126.97,117.94,-7.11,148230,17757954,"22-Sep-2023"
"LOKESHMACH",372.5,383.1,360.05,387.45,363.5,-6.18,150688,55300989.12,"24-Nov-2023"
"DBSTOCKBRO",49.85,49.85,45.4,48.9,46.01,-5.91,17849,868710.83,"22-Sep-2023"
"INDOTHAI",274,274,245.35,261.4,247,-5.51,34662,8927198.1,"13-Feb-2024"
"ARMANFIN",1700.05,1710,1633.15,1798.4,1700.8,-5.43,124001,208290679.75,"22-Sep-2023"
"IRMENERGY",429.9,429.9,404,432.1,409,-5.35,311999,128596627.83,"12-Jul-2024"
"TARSONS",445,449,420,449.85,426.45,-5.2,251212,108310053.8,"07-Jul-2023"
"BCLIND",65,65.5,59.5,63.28,60,-5.18,7633954,474526580.64,"27-Oct-2023"
"XELPMOC",108.99,112.79,102.95,108.5,103,-5.07,31072,3310410.88,"-"
"HINDMOTORS",31.4,32.44,29.5,31.06,29.5,-5.02,1119930,33788288.1,"17-Aug-2023"
"SINDHUTRAD",22.7,22.7,21.18,22.3,21.18,-5.02,2772531,59387614.02,"15-Sep-2023"
"MASKINVEST",77.16,77.16,77.16,81.23,77.16,-5.01,140,10802.4,"23-Sep-2022"
"AHLADA",103.06,105.68,100.39,105.68,100.39,-5.01,151007,15259257.35,"22-Sep-2023"
"AARTECH",72.95,73.79,67.84,71.42,67.84,-5.01,52039,3630761.03,"09-Aug-2024"
"CTE",98.01,98.01,97.31,102.44,97.31,-5.01,19480,1895793.6,"20-Sep-2023"
