"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"SRPL",1.1,1.15,1.04,1.1,1.04,-5.45,2050977,2194545.39,"06-Jul-2023"
"BHANDARI",7.3,7.3,6.5,7.12,6.75,-5.2,2021587,13787223.34,"19-Jun-2024"
"INFOMEDIA",6.36,6.39,6.36,6.7,6.36,-5.07,8362,53182.32,"10-Aug-2018"
"GATECH",1.45,1.45,1.32,1.39,1.32,-5.04,35324143,48394075.91,"16-Jul-2024"
"SECURCRED",6.1,6.35,5.85,6.16,5.85,-5.03,475677,2820764.61,"22-Sep-2023"
"SADBHIN",8.29,8.37,7.58,7.98,7.58,-5.01,1498735,11765069.75,"22-Sep-2023"
"VARDMNPOLY",9.9,10,9.22,9.65,9.22,-4.46,285963,2682332.94,"17-May-2024"
"TGBHOTELS",16.48,16.48,15.06,15.85,15.19,-4.16,197966,3028879.8,"16-Sep-2021"
"MBECL",5.07,5.45,5.04,5.31,5.09,-4.14,383664,1949013.12,"24-Aug-2023"
"ROLLT",2.5,2.5,2.34,2.47,2.37,-4.05,265350,626226,"22-Sep-2023"
"FELDVR",5.39,5.39,5.03,5.3,5.1,-3.77,8147,41957.05,"20-Aug-2018"
"FILATFASH",1.44,1.44,1.34,1.41,1.36,-3.55,66364297,90255443.92,"09-Aug-2024"
"RAJMET",12.01,12.09,11.66,12.25,11.88,-3.02,2060287,24414400.95,"14-Sep-2023"
"KSHITIJPOL",6.38,6.49,6.18,6.51,6.32,-2.92,1065953,6640887.19,"18-Jun-2024"
"SGL",19.95,19.95,19,19.58,19.05,-2.71,34349,661905.23,"22-Sep-2023"
"ARSSINFRA",18.48,18.49,17.55,18.48,17.99,-2.65,42318,762993.54,"18-Sep-2023"
"SHAH",6,6.08,5.66,5.88,5.73,-2.55,2212511,12788313.58,"04-May-2023"
"BINANIIND",15.7,16.47,15.34,15.73,15.35,-2.42,22421,347973.92,"18-Sep-2023"
"VISHWARAJ",16,16.2,15.82,16.29,15.9,-2.39,1049804,16723377.72,"01-Sep-2023"
"KBCGLOBAL",1.75,1.76,1.64,1.73,1.69,-2.31,8090886,13592688.48,"22-Sep-2023"
