"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HINDZINC",530,544,516.05,571.75,518,-9.4,11319240,5974521256.8,"23-Jul-2024"
"INDSWFTLAB",148,148.79,127.55,148.56,136.49,-8.12,1277281,178474474.13,"22-Sep-2023"
"KDDL",3464,3464,3212.55,3513.7,3230,-8.07,83943,275140810.53,"25-Jan-2024"
"SIGIND",75.5,75.56,71.1,78.24,72.45,-7.4,151248,10965480,"22-Sep-2023"
"SECURKLOUD",36.3,37.93,34.1,36.88,34.17,-7.35,133673,4726677.28,"23-Sep-2021"
"AVROIND",124.34,124.34,114,126.97,117.94,-7.11,148230,17757954,"22-Sep-2023"
"LOKESHMACH",372.5,383.1,360.05,387.45,363.5,-6.18,150688,55300989.12,"24-Nov-2023"
"DBSTOCKBRO",49.85,49.85,45.4,48.9,46.01,-5.91,17849,868710.83,"22-Sep-2023"
"INDOTHAI",274,274,245.35,261.4,247,-5.51,34662,8927198.1,"13-Feb-2024"
"SRPL",1.1,1.15,1.04,1.1,1.04,-5.45,2050977,2194545.39,"06-Jul-2023"
"ARMANFIN",1700.05,1710,1633.15,1798.4,1700.8,-5.43,124001,208290679.75,"22-Sep-2023"
"IRMENERGY",429.9,429.9,404,432.1,409,-5.35,311999,128596627.83,"12-Jul-2024"
"TARSONS",445,449,420,449.85,426.45,-5.2,251212,108310053.8,"07-Jul-2023"
"BHANDARI",7.3,7.3,6.5,7.12,6.75,-5.2,2021587,13787223.34,"19-Jun-2024"
"BCLIND",65,65.5,59.5,63.28,60,-5.18,7633954,474526580.64,"27-Oct-2023"
"INFOMEDIA",6.36,6.39,6.36,6.7,6.36,-5.07,8362,53182.32,"10-Aug-2018"
"XELPMOC",108.99,112.79,102.95,108.5,103,-5.07,31072,3310410.88,"-"
"GATECH",1.45,1.45,1.32,1.39,1.32,-5.04,35324143,48394075.91,"16-Jul-2024"
"SECURCRED",6.1,6.35,5.85,6.16,5.85,-5.03,475677,2820764.61,"22-Sep-2023"
"HINDMOTORS",31.4,32.44,29.5,31.06,29.5,-5.02,1119930,33788288.1,"17-Aug-2023"
